id,factor,fleet,value
12-CAAL-old-growth-SD,4,1,0.1
12-CAAL-old-growth-SD,7,1,0.1
12-CAAL-old-growth-SD,4,2,0.0833333
12-CAAL-old-growth-SD,7,2,0.1
12-CAAL-old-growth-SD,4,3,0.1
12-CAAL-old-growth-SD,7,3,0.1
12-CAAL-old-growth-SD,4,4,0.1
12-CAAL-old-growth-SD,7,4,0.1
12-CAAL-old-growth-SD,4,5,0.1
12-CAAL-old-growth-SD,7,5,0.1
12-CAAL-old-growth-SD,4,6,0.0555556
12-CAAL-old-growth-SD,7,6,0.1
12-CAAL-old-growth-SD,4,7,0.1
12-CAAL-old-growth-SD,7,7,0.1
12-CAAL-old-growth-SD,4,8,0.1
12-CAAL-old-growth-SD,7,8,0.1
12-CAAL-old-growth-SD,4,9,0.1
12-CAAL-old-growth-SD,7,9,0.0833333
12-CAAL-old-growth-SD,4,10,0.1
12-CAAL-old-growth-SD,7,10,0.0434783
12-CAAL-old-growth-SD,4,11,0.0625
12-CAAL-old-growth-SD,7,11,0.1
12-CAAL-old-growth-SD,4,12,0.0294118
12-CAAL-old-growth-SD,7,12,0.1
12-CAAL-old-growth-SD,4,13,0.1
12-CAAL-old-growth-SD,7,13,0.1
12-CAAL-old-growth-SD,4,14,0.1
12-CAAL-old-growth-SD,7,14,0.1
12-CAAL-old-growth-SD,4,15,0.0666667
12-CAAL-old-growth-SD,7,15,0.0666667
12-CAAL-old-growth-SD,1,16,0.190777
12-CAAL-old-growth-SD,4,16,0.1
12-CAAL-old-growth-SD,7,16,0.1
