id,type,yr,Value,StdDev
12-CAAL-old-growth-SD,f,1952,0.0158059,0.00219381
12-CAAL-old-growth-SD,f,1953,0.183742,0.0399444
12-CAAL-old-growth-SD,f,1954,1.27287,0.283675
12-CAAL-old-growth-SD,f,1955,0.816443,0.176334
12-CAAL-old-growth-SD,f,1956,0.675623,0.14563
12-CAAL-old-growth-SD,f,1957,0.6176,0.140942
12-CAAL-old-growth-SD,f,1958,1.07807,0.241607
12-CAAL-old-growth-SD,f,1959,0.967653,0.225759
12-CAAL-old-growth-SD,f,1960,1.03331,0.243774
12-CAAL-old-growth-SD,f,1961,1.74294,0.427966
12-CAAL-old-growth-SD,f,1962,1.67128,0.431079
12-CAAL-old-growth-SD,f,1963,1.97445,0.519895
12-CAAL-old-growth-SD,f,1964,1.08712,0.288182
12-CAAL-old-growth-SD,f,1965,1.24482,0.314237
12-CAAL-old-growth-SD,f,1966,1.62809,0.474676
12-CAAL-old-growth-SD,f,1967,0.849678,0.227457
12-CAAL-old-growth-SD,f,1968,0.644861,0.156381
12-CAAL-old-growth-SD,f,1969,0.599373,0.137127
12-CAAL-old-growth-SD,f,1970,1.35564,0.294678
12-CAAL-old-growth-SD,f,1971,1.95237,0.480997
12-CAAL-old-growth-SD,f,1972,2.11166,0.561074
12-CAAL-old-growth-SD,f,1973,2.07247,0.552559
12-CAAL-old-growth-SD,f,1974,1.81155,0.49949
12-CAAL-old-growth-SD,f,1975,1.34164,0.329427
12-CAAL-old-growth-SD,f,1976,1.24932,0.300855
12-CAAL-old-growth-SD,f,1977,0.633423,0.129111
12-CAAL-old-growth-SD,f,1978,1.16049,0.190097
12-CAAL-old-growth-SD,f,1979,1.24742,0.233202
12-CAAL-old-growth-SD,f,1980,0.848764,0.145827
12-CAAL-old-growth-SD,f,1981,1.56964,0.238999
12-CAAL-old-growth-SD,f,1982,2.0265,0.3663
12-CAAL-old-growth-SD,f,1983,1.33724,0.263638
12-CAAL-old-growth-SD,f,1984,1.38248,0.252272
12-CAAL-old-growth-SD,f,1985,1.3256,0.233504
12-CAAL-old-growth-SD,f,1986,1.24253,0.219864
12-CAAL-old-growth-SD,f,1987,1.21895,0.233036
12-CAAL-old-growth-SD,f,1988,1.6002,0.335653
12-CAAL-old-growth-SD,f,1989,2.47572,0.528439
12-CAAL-old-growth-SD,f,1990,1.72459,0.3656
12-CAAL-old-growth-SD,f,1991,1.32181,0.278716
12-CAAL-old-growth-SD,f,1992,0.967452,0.186601
12-CAAL-old-growth-SD,f,1993,1.20759,0.257872
12-CAAL-old-growth-SD,f,1994,1.95108,0.410596
12-CAAL-old-growth-SD,f,1995,1.81816,0.409036
12-CAAL-old-growth-SD,f,1996,1.55889,0.312155
12-CAAL-old-growth-SD,f,1997,1.38119,0.256189
12-CAAL-old-growth-SD,f,1998,1.89275,0.327449
12-CAAL-old-growth-SD,f,1999,1.63166,0.275781
12-CAAL-old-growth-SD,f,2000,1.31184,0.22298
12-CAAL-old-growth-SD,f,2001,1.13241,0.163226
12-CAAL-old-growth-SD,f,2002,1.2152,0.158857
12-CAAL-old-growth-SD,f,2003,1.86316,0.260684
12-CAAL-old-growth-SD,f,2004,1.85524,0.2918
12-CAAL-old-growth-SD,f,2005,1.70898,0.307494
12-CAAL-old-growth-SD,f,2006,1.42297,0.257245
12-CAAL-old-growth-SD,f,2007,1.2653,0.227784
12-CAAL-old-growth-SD,f,2008,1.45381,0.265674
12-CAAL-old-growth-SD,f,2009,1.27278,0.211449
12-CAAL-old-growth-SD,f,2010,1.29043,0.199688
12-CAAL-old-growth-SD,f,2011,1.6006,0.242302
12-CAAL-old-growth-SD,f,2012,1.79486,0.282525
12-CAAL-old-growth-SD,f,2013,1.43353,0.234644
12-CAAL-old-growth-SD,f,2014,1.76061,0.24226
12-CAAL-old-growth-SD,f,2015,1.93524,0.307577
12-CAAL-old-growth-SD,f,2016,1.78467,0.33455
12-CAAL-old-growth-SD,f,2017,1.41364,0.245915
12-CAAL-old-growth-SD,f,2018,1.57555,0.262511
12-CAAL-old-growth-SD,f,2019,1.55079,0.282701
12-CAAL-old-growth-SD,f,2020,1.48308,0.317894
12-CAAL-old-growth-SD,f,2021,1.60173,0.431843
12-CAAL-old-growth-SD,f,2022,1.06713,0.319047
