id,Fleet,Fleet_name,Yr,Sex,variable,value
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,7.5,3.14405e-10
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,7.5,3.14405e-10
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,7.5,3.10512e-10
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,7.5,3.0887e-10
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,7.5,3.0887e-10
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,7.5,3.08097e-10
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,7.5,1.42136e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,7.5,7.78e-08
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,7.5,3.08373e-10
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,7.5,3.06624e-10
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,7.5,3.14405e-10
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,7.5,3.08373e-10
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,7.5,3.05601e-10
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,8.5,9.99297e-08
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,8.5,3.96088e-10
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,8.5,3.93842e-10
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,8.5,4.03836e-10
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,8.5,4.03836e-10
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,8.5,3.98836e-10
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,8.5,3.96726e-10
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,8.5,3.96726e-10
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,8.5,3.95733e-10
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,8.5,1.65106e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,8.5,9.99297e-08
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,8.5,3.96088e-10
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,8.5,3.93842e-10
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,8.5,4.03836e-10
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,8.5,3.96088e-10
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,8.5,3.92527e-10
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,9.5,1.24826e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,9.5,4.94767e-10
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,9.5,4.91962e-10
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,9.5,5.04446e-10
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,9.5,5.04446e-10
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,9.5,4.982e-10
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,9.5,4.95564e-10
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,9.5,4.95564e-10
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,9.5,4.94324e-10
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,9.5,1.91787e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,9.5,1.24826e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,9.5,4.94767e-10
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,9.5,4.91962e-10
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,9.5,5.04446e-10
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,9.5,4.94767e-10
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,9.5,4.9032e-10
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,10.5,1.52488e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,10.5,6.04411e-10
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,10.5,6.00984e-10
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,10.5,6.16234e-10
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,10.5,6.16234e-10
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,10.5,6.08604e-10
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,10.5,6.05384e-10
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,10.5,6.05384e-10
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,10.5,6.0387e-10
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,10.5,2.2278e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,10.5,1.52488e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,10.5,6.04411e-10
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,10.5,6.00984e-10
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,10.5,6.16234e-10
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,10.5,6.04411e-10
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,10.5,5.98978e-10
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,11.5,1.82916e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,11.5,7.25019e-10
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,11.5,7.20908e-10
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,11.5,7.39202e-10
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,11.5,7.39202e-10
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,11.5,7.30049e-10
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,11.5,7.26187e-10
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,11.5,7.26187e-10
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,11.5,7.2437e-10
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,11.5,2.58782e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,11.5,1.82916e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,11.5,7.25019e-10
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,11.5,7.20908e-10
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,11.5,7.39202e-10
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,11.5,7.25019e-10
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,11.5,7.18502e-10
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,12.5,2.16111e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,12.5,8.56591e-10
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,12.5,8.51734e-10
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,12.5,8.73348e-10
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,12.5,8.73348e-10
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,12.5,8.62534e-10
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,12.5,8.57971e-10
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,12.5,8.57971e-10
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,12.5,8.55824e-10
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,12.5,3.00602e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,12.5,2.16111e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,12.5,8.56591e-10
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,12.5,8.51734e-10
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,12.5,8.73348e-10
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,12.5,8.56591e-10
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,12.5,8.48891e-10
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,13.5,2.52072e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,13.5,9.99128e-10
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,13.5,9.93463e-10
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,13.5,1.01867e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,13.5,1.01867e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,13.5,1.00606e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,13.5,1.00074e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,13.5,1.00074e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,13.5,9.98233e-10
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,13.5,3.49179e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,13.5,2.52072e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,13.5,9.99128e-10
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,13.5,9.93463e-10
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,13.5,1.01867e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,13.5,9.99128e-10
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,13.5,9.90147e-10
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,14.5,2.90799e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,14.5,1.15263e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,14.5,1.14609e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,14.5,1.17518e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,14.5,1.17518e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,14.5,1.16063e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,14.5,1.15449e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,14.5,1.15449e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,14.5,1.1516e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,14.5,4.05607e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,14.5,2.90799e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,14.5,1.15263e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,14.5,1.14609e-09
