id,Label,values,lambdas
12-CAAL-old-growth-SD,TOTAL,837.225,
12-CAAL-old-growth-SD,Catch,0.804759,
12-CAAL-old-growth-SD,Equil_catch,0,
12-CAAL-old-growth-SD,Survey,-28.2912,
12-CAAL-old-growth-SD,Length_comp,107.915,
12-CAAL-old-growth-SD,Age_comp,0.108804,
12-CAAL-old-growth-SD,SizeFreq,755.857,
12-CAAL-old-growth-SD,Recruitment,0.783482,1
12-CAAL-old-growth-SD,InitEQ_Regime,0,1
12-CAAL-old-growth-SD,Forecast_Recruitment,0.020673,1
12-CAAL-old-growth-SD,Parm_priors,0,1
12-CAAL-old-growth-SD,Parm_softbounds,0.026663,
12-CAAL-old-growth-SD,Parm_devs,0,1
12-CAAL-old-growth-SD,Crash_Pen,0,1
