"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SPRratio_2003" "SPRratio_2003" 1.18119 0.0297825 6.08369 1
"SPRratio_2004" "SPRratio_2004" 1.18602 0.0332894 5.58784 1
"SPRratio_2005" "SPRratio_2005" 1.13565 0.0420887 3.22306 0.999366
"SPRratio_2006" "SPRratio_2006" 1.08749 0.0484528 1.80577 0.964523
"SPRratio_2007" "SPRratio_2007" 1.06279 0.0518177 1.21176 0.887198
"SPRratio_2008" "SPRratio_2008" 1.10757 0.0468629 2.29536 0.989144
"SPRratio_2009" "SPRratio_2009" 1.08017 0.0456698 1.75536 0.960401
"SPRratio_2010" "SPRratio_2010" 1.08567 0.0420925 2.03521 0.979085
"SPRratio_2011" "SPRratio_2011" 1.14861 0.036137 4.11246 0.99998
"SPRratio_2012" "SPRratio_2012" 1.17505 0.0343385 5.0979 1
"SPRratio_2013" "SPRratio_2013" 1.08826 0.0422856 2.08729 0.981569
"SPRratio_2014" "SPRratio_2014" 1.19248 0.0310338 6.20226 1
"SPRratio_2015" "SPRratio_2015" 1.18932 0.0341641 5.54147 1
"SPRratio_2016" "SPRratio_2016" 1.12733 0.0441946 2.88122 0.998019
"SPRratio_2017" "SPRratio_2017" 1.0992 0.0478175 2.07446 0.980982
"SPRratio_2018" "SPRratio_2018" 1.14965 0.0410781 3.643 0.999865
"SPRratio_2019" "SPRratio_2019" 1.14377 0.0458784 3.13363 0.999137
"SPRratio_2020" "SPRratio_2020" 1.14676 0.0551413 2.66145 0.99611
"SPRratio_2021" "SPRratio_2021" 1.1218 0.0687278 1.77225 0.961823
"SPRratio_2022" "SPRratio_2022" 1.00985 0.094947 0.103766 0.541322
"SPRratio_2023" "SPRratio_2023" 1.00985 0.094947 0.103766 0.541322
"F_1952" "F_1952" 0.0158059 0.00219381 -448.624 0
"F_1953" "F_1953" 0.183742 0.0399444 -20.4348 4.43579e-93
"F_1954" "F_1954" 1.27287 0.283675 0.961917 0.831954
"F_1955" "F_1955" 0.816443 0.176334 -1.04096 0.148947
"F_1956" "F_1956" 0.675623 0.14563 -2.22741 0.01296
"F_1957" "F_1957" 0.6176 0.140942 -2.71318 0.00333208
"F_1958" "F_1958" 1.07807 0.241607 0.323121 0.626698
"F_1959" "F_1959" 0.967653 0.225759 -0.14328 0.443034
"F_1960" "F_1960" 1.03331 0.243774 0.136644 0.554344
"F_1961" "F_1961" 1.74294 0.427966 1.73599 0.958717
"F_1962" "F_1962" 1.67128 0.431079 1.55721 0.94029
"F_1963" "F_1963" 1.97445 0.519895 1.87431 0.969556
"F_1964" "F_1964" 1.08712 0.288182 0.302298 0.618787
"F_1965" "F_1965" 1.24482 0.314237 0.779079 0.782033
"F_1966" "F_1966" 1.62809 0.474676 1.32319 0.907114
"F_1967" "F_1967" 0.849678 0.227457 -0.660878 0.254345
"F_1968" "F_1968" 0.644861 0.156381 -2.27099 0.0115738
"F_1969" "F_1969" 0.599373 0.137127 -2.92158 0.00174137
"F_1970" "F_1970" 1.35564 0.294678 1.20689 0.886262
"F_1971" "F_1971" 1.95237 0.480997 1.97999 0.976148
"F_1972" "F_1972" 2.11166 0.561074 1.98131 0.976222
"F_1973" "F_1973" 2.07247 0.552559 1.94092 0.973866
"F_1974" "F_1974" 1.81155 0.49949 1.62475 0.947892
"F_1975" "F_1975" 1.34164 0.329427 1.03707 0.850149
"F_1976" "F_1976" 1.24932 0.300855 0.828697 0.796362
"F_1977" "F_1977" 0.633423 0.129111 -2.83924 0.0022611
"F_1978" "F_1978" 1.16049 0.190097 0.844234 0.800731
"F_1979" "F_1979" 1.24742 0.233202 1.06098 0.855651
"F_1980" "F_1980" 0.848764 0.145827 -1.03709 0.149847
"F_1981" "F_1981" 1.56964 0.238999 2.38342 0.991424
"F_1982" "F_1982" 2.0265 0.3663 2.80235 0.997463
"F_1983" "F_1983" 1.33724 0.263638 1.27917 0.899581
"F_1984" "F_1984" 1.38248 0.252272 1.51614 0.935258
"F_1985" "F_1985" 1.3256 0.233504 1.39443 0.918405
"F_1986" "F_1986" 1.24253 0.219864 1.10307 0.865001
"F_1987" "F_1987" 1.21895 0.233036 0.93954 0.826273
"F_1988" "F_1988" 1.6002 0.335653 1.78816 0.963125
"F_1989" "F_1989" 2.47572 0.528439 2.7926 0.997386
"F_1990" "F_1990" 1.72459 0.3656 1.98192 0.976256
"F_1991" "F_1991" 1.32181 0.278716 1.15463 0.875879
"F_1992" "F_1992" 0.967452 0.186601 -0.174427 0.430765
"F_1993" "F_1993" 1.20759 0.257872 0.805005 0.789592
"F_1994" "F_1994" 1.95108 0.410596 2.31635 0.98973
"F_1995" "F_1995" 1.81816 0.409036 2.00023 0.977262
"F_1996" "F_1996" 1.55889 0.312155 1.79043 0.963307
"F_1997" "F_1997" 1.38119 0.256189 1.48793 0.931615
"F_1998" "F_1998" 1.89275 0.327449 2.72637 0.996798
"F_1999" "F_1999" 1.63166 0.275781 2.29044 0.989002
"F_2000" "F_2000" 1.31184 0.22298 1.3985 0.919019
"F_2001" "F_2001" 1.13241 0.163226 0.811203 0.791376
"F_2002" "F_2002" 1.2152 0.158857 1.3547 0.912243
"F_2003" "F_2003" 1.86316 0.260684 3.31112 0.999535
"F_2004" "F_2004" 1.85524 0.2918 2.93092 0.99831
"F_2005" "F_2005" 1.70898 0.307494 2.30568 0.989436
"F_2006" "F_2006" 1.42297 0.257245 1.64421 0.949934
"F_2007" "F_2007" 1.2653 0.227784 1.16471 0.877932
"F_2008" "F_2008" 1.45381 0.265674 1.70816 0.956197
"F_2009" "F_2009" 1.27278 0.211449 1.29007 0.901487
"F_2010" "F_2010" 1.29043 0.199688 1.45444 0.927087
"F_2011" "F_2011" 1.6006 0.242302 2.47872 0.993407
"F_2012" "F_2012" 1.79486 0.282525 2.81341 0.997549
"F_2013" "F_2013" 1.43353 0.234644 1.84762 0.967671
"F_2014" "F_2014" 1.76061 0.24226 3.13966 0.999154
"F_2015" "F_2015" 1.93524 0.307577 3.04068 0.99882
"F_2016" "F_2016" 1.78467 0.33455 2.34546 0.990498
"F_2017" "F_2017" 1.41364 0.245915 1.68205 0.95372
"F_2018" "F_2018" 1.57555 0.262511 2.19248 0.985828
"F_2019" "F_2019" 1.55079 0.282701 1.9483 0.97431
"F_2020" "F_2020" 1.48308 0.317894 1.51961 0.935696
"F_2021" "F_2021" 1.60173 0.431843 1.39341 0.918252
"F_2022" "F_2022" 1.06713 0.319047 0.210403 0.583323
"F_2023" "F_2023" 1.06713 0.319047 0.210403 0.583323
"Bratio_1953" "Bratio_1953" 4.69675 0.378929 9.75578 1
"Bratio_1954" "Bratio_1954" 4.29769 0.378309 8.71691 1
"Bratio_1955" "Bratio_1955" 2.18579 0.416611 2.84628 0.997788
"Bratio_1956" "Bratio_1956" 1.81682 0.360423 2.26628 0.988283
"Bratio_1957" "Bratio_1957" 1.75462 0.327595 2.30353 0.989375
"Bratio_1958" "Bratio_1958" 1.74504 0.315088 2.36454 0.990974
"Bratio_1959" "Bratio_1959" 1.38585 0.294476 1.31029 0.904951
"Bratio_1960" "Bratio_1960" 1.30092 0.28225 1.06614 0.856821
"Bratio_1961" "Bratio_1961" 1.25418 0.272662 0.932234 0.824392
"Bratio_1962" "Bratio_1962" 0.892778 0.244045 -0.439352 0.330203
"Bratio_1963" "Bratio_1963" 0.763345 0.216191 -1.09466 0.136833
"Bratio_1964" "Bratio_1964" 0.625243 0.193108 -1.94066 0.0261496
"Bratio_1965" "Bratio_1965" 0.785866 0.211975 -1.01019 0.156203
"Bratio_1966" "Bratio_1966" 0.803152 0.224505 -0.876812 0.190294
"Bratio_1967" "Bratio_1967" 0.681659 0.228828 -1.39118 0.0820855
"Bratio_1968" "Bratio_1968" 0.855784 0.241897 -0.596189 0.275525
"Bratio_1969" "Bratio_1969" 1.06153 0.260057 0.236605 0.593519
"Bratio_1970" "Bratio_1970" 1.22794 0.273236 0.83423 0.797924
"Bratio_1971" "Bratio_1971" 0.945542 0.242223 -0.224825 0.411058
"Bratio_1972" "Bratio_1972" 0.681112 0.195515 -1.63101 0.0514439
"Bratio_1973" "Bratio_1973" 0.60578 0.166992 -2.36072 0.00911983
"Bratio_1974" "Bratio_1974" 0.581906 0.162757 -2.56883 0.00510211
"Bratio_1975" "Bratio_1975" 0.624151 0.170214 -2.20809 0.0136188
"Bratio_1976" "Bratio_1976" 0.704278 0.175244 -1.68749 0.0457549
"Bratio_1977" "Bratio_1977" 0.736743 0.178444 -1.47529 0.070067
"Bratio_1978" "Bratio_1978" 0.922917 0.186666 -0.412945 0.339824
"Bratio_1979" "Bratio_1979" 0.839797 0.171244 -0.935525 0.174759
"Bratio_1980" "Bratio_1980" 0.797948 0.168428 -1.19964 0.115141
"Bratio_1981" "Bratio_1981" 1.01476 0.168898 0.0873681 0.534811
"Bratio_1982" "Bratio_1982" 0.860962 0.150803 -0.921984 0.178268
"Bratio_1983" "Bratio_1983" 0.665992 0.135227 -2.46997 0.00675621
"Bratio_1984" "Bratio_1984" 0.72086 0.137636 -2.0281 0.0212749
"Bratio_1985" "Bratio_1985" 0.724425 0.136065 -2.02532 0.0214172
"Bratio_1986" "Bratio_1986" 0.655644 0.129576 -2.65757 0.00393537
"Bratio_1987" "Bratio_1987" 0.62318 0.120436 -3.12879 0.000877703
"Bratio_1988" "Bratio_1988" 0.575552 0.126062 -3.36698 0.000380037
"Bratio_1989" "Bratio_1989" 0.572621 0.13335 -3.20493 0.000675532
"Bratio_1990" "Bratio_1990" 0.531538 0.124255 -3.77018 8.15922e-05
"Bratio_1991" "Bratio_1991" 0.554821 0.128204 -3.47244 0.00025792
"Bratio_1992" "Bratio_1992" 0.606997 0.138885 -2.8297 0.00232968
"Bratio_1993" "Bratio_1993" 0.710785 0.156489 -1.84815 0.03229
"Bratio_1994" "Bratio_1994" 0.773224 0.172802 -1.31235 0.0947018
"Bratio_1995" "Bratio_1995" 0.670905 0.159621 -2.06172 0.0196169
"Bratio_1996" "Bratio_1996" 0.710561 0.149317 -1.93841 0.0262865
"Bratio_1997" "Bratio_1997" 0.743304 0.149957 -1.7118 0.0434665
"Bratio_1998" "Bratio_1998" 0.849538 0.16251 -0.925861 0.177259
"Bratio_1999" "Bratio_1999" 0.931031 0.174237 -0.395834 0.346114
"Bratio_2000" "Bratio_2000" 0.873937 0.180798 -0.697255 0.242822
"Bratio_2001" "Bratio_2001" 0.972545 0.190526 -0.144099 0.442711
"Bratio_2002" "Bratio_2002" 1.01016 0.177301 0.0573315 0.52286
"Bratio_2003" "Bratio_2003" 0.858015 0.15138 -0.937941 0.174137
"Bratio_2004" "Bratio_2004" 0.677362 0.127972 -2.52117 0.00584835
"Bratio_2005" "Bratio_2005" 0.537996 0.115677 -3.99392 3.251e-05
"Bratio_2006" "Bratio_2006" 0.546401 0.118308 -3.83406 6.3044e-05
"Bratio_2007" "Bratio_2007" 0.60503 0.128742 -3.06793 0.00107781
"Bratio_2008" "Bratio_2008" 0.62689 0.137726 -2.70907 0.00337366
"Bratio_2009" "Bratio_2009" 0.61952 0.13925 -2.73235 0.00314429
"Bratio_2010" "Bratio_2010" 0.663589 0.134831 -2.49506 0.00629682
"Bratio_2011" "Bratio_2011" 0.636922 0.122709 -2.95886 0.00154397
"Bratio_2012" "Bratio_2012" 0.519322 0.105836 -4.54171 2.79267e-06
"Bratio_2013" "Bratio_2013" 0.426756 0.0914785 -6.26643 1.85493e-10
"Bratio_2014" "Bratio_2014" 0.456715 0.0858929 -6.32514 1.27059e-10
"Bratio_2015" "Bratio_2015" 0.392078 0.0778281 -7.81109 2.86166e-15
"Bratio_2016" "Bratio_2016" 0.350619 0.0754393 -8.60799 3.76551e-18
