id,time,era,n,n_mature,n_pup_produced
12-CAAL-old-growth-SD,1950,VIRG,424.34665,108.768748860308,11372.996120454
12-CAAL-old-growth-SD,1950.25,VIRG,372.72242,99.2170975700049,10378.7798932307
12-CAAL-old-growth-SD,1950.5,VIRG,329.90365,90.5299998639892,9473.5521345815
12-CAAL-old-growth-SD,1950.75,VIRG,294.0811,82.6269934747904,8649.1773937536
12-CAAL-old-growth-SD,1951,INIT,424.34665,108.768748860308,11372.996120454
12-CAAL-old-growth-SD,1951.25,INIT,372.72242,99.2170975700049,10378.7798932307
12-CAAL-old-growth-SD,1951.5,INIT,329.90365,90.5299998639892,9473.5521345815
12-CAAL-old-growth-SD,1951.75,INIT,294.0811,82.6269934747904,8649.1773937536
12-CAAL-old-growth-SD,1952,TIME,465.6256,112.717435343165,11710.1226344632
12-CAAL-old-growth-SD,1952.25,TIME,407.83295,102.280360596902,10624.2072743821
12-CAAL-old-growth-SD,1952.5,TIME,360.54808,93.3187669775352,9696.99859750035
12-CAAL-old-growth-SD,1952.75,TIME,321.09249,85.1674217005934,8852.7307744824
12-CAAL-old-growth-SD,1953,TIME,467.13139,113.764708142079,11810.9037961555
12-CAAL-old-growth-SD,1953.25,TIME,409.28366,103.124612065181,10703.8770252926
12-CAAL-old-growth-SD,1953.5,TIME,362.01694,94.0839251139181,9769.19732196275
12-CAAL-old-growth-SD,1953.75,TIME,322.40125,85.7727330252743,8908.7599903364
12-CAAL-old-growth-SD,1954,TIME,449.17177,104.857899436985,10807.3778997082
12-CAAL-old-growth-SD,1954.25,TIME,392.20629,94.0121562704019,9683.7778446315
12-CAAL-old-growth-SD,1954.5,TIME,346.49724,85.6024404725897,8821.17106539665
12-CAAL-old-growth-SD,1954.75,TIME,294.34622,67.9805877709153,6978.71158775725
12-CAAL-old-growth-SD,1955,TIME,374.88603,56.4378582677771,5496.60403005355
12-CAAL-old-growth-SD,1955.25,TIME,325.11703,49.7139749621217,4829.99037779625
12-CAAL-old-growth-SD,1955.5,TIME,286.02,45.1833524006857,4391.87107004545
12-CAAL-old-growth-SD,1955.75,TIME,244.192948,35.7389275752958,3455.94592476535
12-CAAL-old-growth-SD,1956,TIME,358.266432,49.2611893588624,4568.74476876165
12-CAAL-old-growth-SD,1956.25,TIME,311.403577,44.0528045458432,4080.1791815567
12-CAAL-old-growth-SD,1956.5,TIME,273.732105,40.017279242789,3707.9511003379
12-CAAL-old-growth-SD,1956.75,TIME,236.79973,33.440073371711,3090.3311281424
12-CAAL-old-growth-SD,1957,TIME,356.325399,48.3188012243842,4412.3447733398
12-CAAL-old-growth-SD,1957.25,TIME,309.873287,43.5012633364391,3969.16088993055
12-CAAL-old-growth-SD,1957.5,TIME,272.324212,39.5602588676448,3610.943907808
12-CAAL-old-growth-SD,1957.75,TIME,237.666197,34.012631727181,3099.2289319227
12-CAAL-old-growth-SD,1958,TIME,360.123853,48.0946287466895,4388.24258466075
12-CAAL-old-growth-SD,1958.25,TIME,312.607681,43.0364559282442,3922.4071949387
12-CAAL-old-growth-SD,1958.5,TIME,274.550315,39.1238082359991,3567.29455962565
12-CAAL-old-growth-SD,1958.75,TIME,234.618308,31.1486748375488,2828.2909787738
12-CAAL-old-growth-SD,1959,TIME,340.710727,38.8618968893779,3484.98611209305
12-CAAL-old-growth-SD,1959.25,TIME,294.985962,34.4895232881389,3089.68224598665
12-CAAL-old-growth-SD,1959.5,TIME,258.29192,30.9873605200449,2775.472530839
12-CAAL-old-growth-SD,1959.75,TIME,218.086579,22.7554439671917,2019.78304095275
12-CAAL-old-growth-SD,1960,TIME,337.959052,37.2397223336237,3271.416822877
12-CAAL-old-growth-SD,1960.25,TIME,293.590348,33.5275003057258,2943.56185533465
12-CAAL-old-growth-SD,1960.5,TIME,256.4137435,29.8940029947487,2623.65167058155
12-CAAL-old-growth-SD,1960.75,TIME,213.8620798,20.8555190322169,1809.6218101898
