id,type,yr,Value,StdDev
12-CAAL-old-growth-SD,rec,1952,183.566,37.4074
12-CAAL-old-growth-SD,rec,1953,179.234,35.8226
12-CAAL-old-growth-SD,rec,1954,171.786,33.928
12-CAAL-old-growth-SD,rec,1955,159.487,31.4609
12-CAAL-old-growth-SD,rec,1956,157.914,31.2577
12-CAAL-old-growth-SD,rec,1957,161.325,32.0898
12-CAAL-old-growth-SD,rec,1958,164.032,32.353
12-CAAL-old-growth-SD,rec,1959,155.782,30.8645
12-CAAL-old-growth-SD,rec,1960,156.406,30.3806
12-CAAL-old-growth-SD,rec,1961,149.895,28.5219
12-CAAL-old-growth-SD,rec,1962,131.404,26.0905
12-CAAL-old-growth-SD,rec,1963,125.72,25.2926
12-CAAL-old-growth-SD,rec,1964,117.65,24.2849
12-CAAL-old-growth-SD,rec,1965,123.301,24.543
12-CAAL-old-growth-SD,rec,1966,122.101,24.4724
12-CAAL-old-growth-SD,rec,1967,117.676,24.5362
12-CAAL-old-growth-SD,rec,1968,128.161,24.563
12-CAAL-old-growth-SD,rec,1969,132.056,23.9119
12-CAAL-old-growth-SD,rec,1970,130.422,23.1925
12-CAAL-old-growth-SD,rec,1971,125.017,22.7572
12-CAAL-old-growth-SD,rec,1972,116.434,22.3135
12-CAAL-old-growth-SD,rec,1973,115.471,21.2571
12-CAAL-old-growth-SD,rec,1974,104.728,19.4938
12-CAAL-old-growth-SD,rec,1975,104.702,19.4067
12-CAAL-old-growth-SD,rec,1976,115.965,20.2254
12-CAAL-old-growth-SD,rec,1977,120.611,21.3141
12-CAAL-old-growth-SD,rec,1978,147.692,21.9248
12-CAAL-old-growth-SD,rec,1979,140.106,21.6914
12-CAAL-old-growth-SD,rec,1980,147.975,18.5866
12-CAAL-old-growth-SD,rec,1981,103.88,15.9476
12-CAAL-old-growth-SD,rec,1982,119.629,16.9361
12-CAAL-old-growth-SD,rec,1983,96.1515,14.3625
12-CAAL-old-growth-SD,rec,1984,97.1176,12.9464
12-CAAL-old-growth-SD,rec,1985,75.2777,12.0576
12-CAAL-old-growth-SD,rec,1986,99.9912,19.0255
12-CAAL-old-growth-SD,rec,1987,163.619,22.2726
12-CAAL-old-growth-SD,rec,1988,113.586,18.4646
12-CAAL-old-growth-SD,rec,1989,98.3246,16.7423
12-CAAL-old-growth-SD,rec,1990,95.7014,17.9503
12-CAAL-old-growth-SD,rec,1991,115.036,22.2855
12-CAAL-old-growth-SD,rec,1992,142.604,25.142
12-CAAL-old-growth-SD,rec,1993,144.987,24.5409
12-CAAL-old-growth-SD,rec,1994,125.481,20.9654
12-CAAL-old-growth-SD,rec,1995,115.928,20.6795
12-CAAL-old-growth-SD,rec,1996,238.08,24.9361
12-CAAL-old-growth-SD,rec,1997,136.164,17.0064
12-CAAL-old-growth-SD,rec,1998,190.528,21.7386
12-CAAL-old-growth-SD,rec,1999,169.459,15.039
12-CAAL-old-growth-SD,rec,2000,86.172,11.0772
12-CAAL-old-growth-SD,rec,2001,178.409,17.6676
12-CAAL-old-growth-SD,rec,2002,112.406,15.5553
12-CAAL-old-growth-SD,rec,2003,123.691,18.2405
12-CAAL-old-growth-SD,rec,2004,119.646,18.0048
12-CAAL-old-growth-SD,rec,2005,93.9732,15.3051
12-CAAL-old-growth-SD,rec,2006,116.44,18.8652
12-CAAL-old-growth-SD,rec,2007,114.656,17.8905
12-CAAL-old-growth-SD,rec,2008,105.476,15.2979
12-CAAL-old-growth-SD,rec,2009,96.0571,14.0964
12-CAAL-old-growth-SD,rec,2010,93.6897,12.7322
12-CAAL-old-growth-SD,rec,2011,89.8775,11.9318
12-CAAL-old-growth-SD,rec,2012,83.0935,10.677
12-CAAL-old-growth-SD,rec,2013,98.5257,10.098
12-CAAL-old-growth-SD,rec,2014,78.243,8.58824
12-CAAL-old-growth-SD,rec,2015,81.5518,9.69043
12-CAAL-old-growth-SD,rec,2016,82.4215,9.67203
12-CAAL-old-growth-SD,rec,2017,80.5484,8.69681
12-CAAL-old-growth-SD,rec,2018,66.9798,8.82549
12-CAAL-old-growth-SD,rec,2019,92.2493,15.0534
12-CAAL-old-growth-SD,rec,2020,129.62,26.1212
12-CAAL-old-growth-SD,rec,2021,97.9835,21.7406
12-CAAL-old-growth-SD,rec,2022,105.037,25.3438
